"","species","observed","predicted","subplot","plot","year","planted_richness","sown"
"100","Schizachyrium scoparium",143.25,106.153813027925,56,1,6,1,1
"101","Agropyron repens",45.5,69.7484962426183,63,1,6,1,1
"102","Agrostis scabra",0,0,63,1,6,1,0
"103","Andropogon gerardi",0,0,63,1,6,1,0
"104","Poa pratensis",0,0,63,1,6,1,0
"105","Schizachyrium scoparium",0,0,63,1,6,1,0
"106","Agropyron repens",30.25,36.6468744130629,5,2,6,1,1
"107","Agrostis scabra",0,0,5,2,6,1,0
"108","Andropogon gerardi",0,0,5,2,6,1,0
"109","Poa pratensis",0,0,5,2,6,1,0
"110","Schizachyrium scoparium",0,0,5,2,6,1,0
"111","Agropyron repens",0,0,8,2,6,1,0
"112","Agrostis scabra",146.75,42.5427548684717,8,2,6,1,1
"113","Andropogon gerardi",0,0,8,2,6,1,0
"114","Poa pratensis",0,0,8,2,6,1,0
"115","Schizachyrium scoparium",0,0,8,2,6,1,0
"116","Agropyron repens",0,0,10,2,6,1,0
"117","Agrostis scabra",0,0,10,2,6,1,0
"118","Andropogon gerardi",0,0,10,2,6,1,0
"119","Poa pratensis",0,0,10,2,6,1,0
"120","Schizachyrium scoparium",34,54.5539971745708,10,2,6,1,1
"121","Agropyron repens",0,0,11,2,6,1,0
"122","Agrostis scabra",119.25,45.5037313249457,11,2,6,1,1
"123","Andropogon gerardi",0,0,11,2,6,1,0
"124","Poa pratensis",0,0,11,2,6,1,0
"125","Schizachyrium scoparium",0,0,11,2,6,1,0
"126","Agropyron repens",0,0,13,2,6,1,0
"127","Agrostis scabra",0,0,13,2,6,1,0
"128","Andropogon gerardi",0,0,13,2,6,1,0
"129","Poa pratensis",0,0,13,2,6,1,0
"130","Schizachyrium scoparium",67.75,55.2436795500112,13,2,6,1,1
"131","Agropyron repens",0,0,15,2,6,1,0
"132","Agrostis scabra",0,0,15,2,6,1,0
"133","Andropogon gerardi",0,0,15,2,6,1,0
"134","Poa pratensis",0,0,15,2,6,1,0
"135","Schizachyrium scoparium",26.425,48.4568378807575,15,2,6,1,1
"136","Agropyron repens",54.75,34.9154651917507,18,2,6,1,1
"137","Agrostis scabra",0,0,18,2,6,1,0
"138","Andropogon gerardi",0,0,18,2,6,1,0
"139","Poa pratensis",0,0,18,2,6,1,0
"140","Schizachyrium scoparium",0,0,18,2,6,1,0
"141","Agropyron repens",44.75,32.4300138508719,20,2,6,1,1
"142","Agrostis scabra",0,0,20,2,6,1,0
"143","Andropogon gerardi",0,0,20,2,6,1,0
"144","Poa pratensis",0,0,20,2,6,1,0
"145","Schizachyrium scoparium",0,0,20,2,6,1,0
"146","Agropyron repens",25.725,35.4088480814657,22,2,6,1,1
"147","Agrostis scabra",0,0,22,2,6,1,0
"148","Andropogon gerardi",0,0,22,2,6,1,0
"149","Poa pratensis",0,0,22,2,6,1,0
"150","Schizachyrium scoparium",0,0,22,2,6,1,0
"151","Agropyron repens",25,33.7090727609123,23,2,6,1,1
"152","Agrostis scabra",0,0,23,2,6,1,0
"153","Andropogon gerardi",0,0,23,2,6,1,0
"154","Poa pratensis",0,0,23,2,6,1,0
"155","Schizachyrium scoparium",0,0,23,2,6,1,0
"156","Agropyron repens",0,0,34,2,6,1,0
"157","Agrostis scabra",0,0,34,2,6,1,0
"158","Andropogon gerardi",74.75,52.1502637551453,34,2,6,1,1
"159","Poa pratensis",0,0,34,2,6,1,0
"160","Schizachyrium scoparium",0,0,34,2,6,1,0
"161","Agropyron repens",0,0,36,2,6,1,0
"162","Agrostis scabra",31.15,43.1315641681818,36,2,6,1,1
"163","Andropogon gerardi",0,0,36,2,6,1,0
"164","Poa pratensis",0,0,36,2,6,1,0
"165","Schizachyrium scoparium",0,0,36,2,6,1,0
"166","Agropyron repens",0,0,37,2,6,1,0
"167","Agrostis scabra",0,0,37,2,6,1,0
"168","Andropogon gerardi",0,0,37,2,6,1,0
"169","Poa pratensis",41,37.891614208352,37,2,6,1,1
"170","Schizachyrium scoparium",0,0,37,2,6,1,0
"171","Agropyron repens",0,0,38,2,6,1,0
"172","Agrostis scabra",0,0,38,2,6,1,0
"173","Andropogon gerardi",0,0,38,2,6,1,0
"174","Poa pratensis",61,39.3048189432252,38,2,6,1,1
"175","Schizachyrium scoparium",0,0,38,2,6,1,0
"176","Agropyron repens",0,0,39,2,6,1,0
"177","Agrostis scabra",199.25,48.4604748114594,39,2,6,1,1
"178","Andropogon gerardi",0,0,39,2,6,1,0
"179","Poa pratensis",0,0,39,2,6,1,0
"180","Schizachyrium scoparium",0,0,39,2,6,1,0
"181","Agropyron repens",0,0,42,2,6,1,0
"182","Agrostis scabra",0,0,42,2,6,1,0
"183","Andropogon gerardi",0,0,42,2,6,1,0
"184","Poa pratensis",62.75,41.0787710656953,42,2,6,1,1
"185","Schizachyrium scoparium",0,0,42,2,6,1,0
"186","Agropyron repens",0,0,43,2,6,1,0
"187","Agrostis scabra",180.5,47.2290370291479,43,2,6,1,1
"188","Andropogon gerardi",0,0,43,2,6,1,0
"189","Poa pratensis",0,0,43,2,6,1,0
"190","Schizachyrium scoparium",0,0,43,2,6,1,0
"191","Agropyron repens",0,0,54,2,6,1,0
"192","Agrostis scabra",0,0,54,2,6,1,0
"193","Andropogon gerardi",35.25,46.1596507006649,54,2,6,1,1
"194","Poa pratensis",0,0,54,2,6,1,0
"195","Schizachyrium scoparium",0,0,54,2,6,1,0
"196","Agropyron repens",0,0,56,2,6,1,0
"197","Agrostis scabra",85.475,41.2894160251365,56,2,6,1,1
"198","Andropogon gerardi",0,0,56,2,6,1,0
"199","Poa pratensis",0,0,56,2,6,1,0
"200","Schizachyrium scoparium",0,0,56,2,6,1,0
"201","Agropyron repens",32.425,32.1856715526051,57,2,6,1,1
"202","Agrostis scabra",0,0,57,2,6,1,0
"203","Andropogon gerardi",0,0,57,2,6,1,0
"204","Poa pratensis",0,0,57,2,6,1,0
"205","Schizachyrium scoparium",0,0,57,2,6,1,0
"206","Agropyron repens",23,31.1920329650738,62,2,6,1,1
"207","Agrostis scabra",0,0,62,2,6,1,0
"208","Andropogon gerardi",0,0,62,2,6,1,0
"209","Poa pratensis",0,0,62,2,6,1,0
"210","Schizachyrium scoparium",0,0,62,2,6,1,0
"211","Agropyron repens",0,0,1,3,6,1,0
"212","Agrostis scabra",0,0,1,3,6,1,0
"213","Andropogon gerardi",0,0,1,3,6,1,0
"214","Poa pratensis",0,0,1,3,6,1,0
"215","Schizachyrium scoparium",19.25,24.7500563817519,1,3,6,1,1
"216","Agropyron repens",0,0,5,3,6,1,0
"217","Agrostis scabra",0,0,5,3,6,1,0
"218","Andropogon gerardi",7.5,20.0707152253799,5,3,6,1,1
"219","Poa pratensis",0,0,5,3,6,1,0
"220","Schizachyrium scoparium",0,0,5,3,6,1,0
"221","Agropyron repens",0,0,7,3,6,1,0
"222","Agrostis scabra",0,0,7,3,6,1,0
"223","Andropogon gerardi",8.25,19.2810206812221,7,3,6,1,1
"224","Poa pratensis",0,0,7,3,6,1,0
"225","Schizachyrium scoparium",0,0,7,3,6,1,0
"226","Agropyron repens",0,0,8,3,6,1,0
"227","Agrostis scabra",0,0,8,3,6,1,0
"228","Andropogon gerardi",0,0,8,3,6,1,0
"229","Poa pratensis",30,19.2222315618549,8,3,6,1,1
"230","Schizachyrium scoparium",0,0,8,3,6,1,0
"231","Agropyron repens",17.6,15.9217141222361,9,3,6,1,1
"232","Agrostis scabra",0,0,9,3,6,1,0
"233","Andropogon gerardi",0,0,9,3,6,1,0
"234","Poa pratensis",0,0,9,3,6,1,0
"235","Schizachyrium scoparium",0,0,9,3,6,1,0
"236","Agropyron repens",15,16.185707289629,11,3,6,1,1
"237","Agrostis scabra",0,0,11,3,6,1,0
"238","Andropogon gerardi",0,0,11,3,6,1,0
"239","Poa pratensis",0,0,11,3,6,1,0
"240","Schizachyrium scoparium",0,0,11,3,6,1,0
"241","Agropyron repens",25.5,16.0158218076916,12,3,6,1,1
"242","Agrostis scabra",0,0,12,3,6,1,0
"243","Andropogon gerardi",0,0,12,3,6,1,0
"244","Poa pratensis",0,0,12,3,6,1,0
"245","Schizachyrium scoparium",0,0,12,3,6,1,0
"246","Agropyron repens",15,15.7542677837927,13,3,6,1,1
"247","Agrostis scabra",0,0,13,3,6,1,0
"248","Andropogon gerardi",0,0,13,3,6,1,0
"249","Poa pratensis",0,0,13,3,6,1,0
"250","Schizachyrium scoparium",0,0,13,3,6,1,0
"251","Agropyron repens",0,0,23,3,6,1,0
"252","Agrostis scabra",43.5,22.1334665567164,23,3,6,1,1
"253","Andropogon gerardi",0,0,23,3,6,1,0
