"","species","observed","predicted","subplot","plot","year","planted_richness","sown"
"497","Agrostis scabra",0,0,42,5,6,1,0
"498","Andropogon gerardi",0,0,42,5,6,1,0
"499","Poa pratensis",0,0,42,5,6,1,0
"500","Schizachyrium scoparium",0,0,42,5,6,1,0
"501","Agropyron repens",26.5,30.4643288753563,44,5,6,1,1
"502","Agrostis scabra",0,0,44,5,6,1,0
"503","Andropogon gerardi",0,0,44,5,6,1,0
"504","Poa pratensis",0,0,44,5,6,1,0
"505","Schizachyrium scoparium",0,0,44,5,6,1,0
"506","Agropyron repens",0,0,46,5,6,1,0
"507","Agrostis scabra",133.5,39.2238120424367,46,5,6,1,1
"508","Andropogon gerardi",0,0,46,5,6,1,0
"509","Poa pratensis",0,0,46,5,6,1,0
"510","Schizachyrium scoparium",0,0,46,5,6,1,0
"511","Agropyron repens",0,0,48,5,6,1,0
"512","Agrostis scabra",108.25,40.5878800611487,48,5,6,1,1
"513","Andropogon gerardi",0,0,48,5,6,1,0
"514","Poa pratensis",0,0,48,5,6,1,0
"515","Schizachyrium scoparium",0,0,48,5,6,1,0
"516","Agropyron repens",0,0,51,5,6,1,0
"517","Agrostis scabra",95,39.9882804205739,51,5,6,1,1
"518","Andropogon gerardi",0,0,51,5,6,1,0
"519","Poa pratensis",0,0,51,5,6,1,0
"520","Schizachyrium scoparium",0,0,51,5,6,1,0
"521","Agropyron repens",0,0,52,5,6,1,0
"522","Agrostis scabra",93,40.1846968766749,52,5,6,1,1
"523","Andropogon gerardi",0,0,52,5,6,1,0
"524","Poa pratensis",0,0,52,5,6,1,0
"525","Schizachyrium scoparium",0,0,52,5,6,1,0
"526","Agropyron repens",0,0,1,6,6,1,0
"527","Agrostis scabra",288.42499,114.391336031166,1,6,6,1,1
"528","Andropogon gerardi",0,0,1,6,6,1,0
"529","Poa pratensis",0,0,1,6,6,1,0
"530","Schizachyrium scoparium",0,0,1,6,6,1,0
"531","Agropyron repens",0,0,2,6,6,1,0
"532","Agrostis scabra",122.45,109.278721893451,2,6,6,1,1
"533","Andropogon gerardi",0,0,2,6,6,1,0
"534","Poa pratensis",0,0,2,6,6,1,0
"535","Schizachyrium scoparium",0,0,2,6,6,1,0
"536","Agropyron repens",0,0,4,6,6,1,0
"537","Agrostis scabra",29.65,124.811608786666,4,6,6,1,1
"538","Andropogon gerardi",0,0,4,6,6,1,0
"539","Poa pratensis",0,0,4,6,6,1,0
"540","Schizachyrium scoparium",0,0,4,6,6,1,0
"541","Agropyron repens",0,0,10,6,6,1,0
"542","Agrostis scabra",0,0,10,6,6,1,0
"543","Andropogon gerardi",299.75,170.387634149851,10,6,6,1,1
"544","Poa pratensis",0,0,10,6,6,1,0
"545","Schizachyrium scoparium",0,0,10,6,6,1,0
"546","Agropyron repens",0,0,13,6,6,1,0
"547","Agrostis scabra",0,0,13,6,6,1,0
"548","Andropogon gerardi",0,0,13,6,6,1,0
"549","Poa pratensis",0,0,13,6,6,1,0
"550","Schizachyrium scoparium",184.75,158.051974174181,13,6,6,1,1
"551","Agropyron repens",0,0,14,6,6,1,0
"552","Agrostis scabra",0,0,14,6,6,1,0
"553","Andropogon gerardi",277.5,176.032490156237,14,6,6,1,1
"554","Poa pratensis",0,0,14,6,6,1,0
"555","Schizachyrium scoparium",0,0,14,6,6,1,0
"556","Agropyron repens",179.5,107.4185903498,18,6,6,1,1
"557","Agrostis scabra",0,0,18,6,6,1,0
"558","Andropogon gerardi",0,0,18,6,6,1,0
"559","Poa pratensis",0,0,18,6,6,1,0
"560","Schizachyrium scoparium",0,0,18,6,6,1,0
"561","Agropyron repens",115.5,99.7584621061958,19,6,6,1,1
"562","Agrostis scabra",0,0,19,6,6,1,0
"563","Andropogon gerardi",0,0,19,6,6,1,0
"564","Poa pratensis",0,0,19,6,6,1,0
"565","Schizachyrium scoparium",0,0,19,6,6,1,0
"566","Agropyron repens",142,104.197524807459,23,6,6,1,1
"567","Agrostis scabra",0,0,23,6,6,1,0
"568","Andropogon gerardi",0,0,23,6,6,1,0
"569","Poa pratensis",0,0,23,6,6,1,0
"570","Schizachyrium scoparium",0,0,23,6,6,1,0
"571","Agropyron repens",110.75,106.176593333985,24,6,6,1,1
"572","Agrostis scabra",0,0,24,6,6,1,0
"573","Andropogon gerardi",0,0,24,6,6,1,0
"574","Poa pratensis",0,0,24,6,6,1,0
"575","Schizachyrium scoparium",0,0,24,6,6,1,0
"576","Agropyron repens",0,0,26,6,6,1,0
"577","Agrostis scabra",0,0,26,6,6,1,0
"578","Andropogon gerardi",0,0,26,6,6,1,0
"579","Poa pratensis",138.25,115.429552646045,26,6,6,1,1
"580","Schizachyrium scoparium",0,0,26,6,6,1,0
"581","Agropyron repens",0,0,27,6,6,1,0
"582","Agrostis scabra",0,0,27,6,6,1,0
"583","Andropogon gerardi",0,0,27,6,6,1,0
"584","Poa pratensis",0,0,27,6,6,1,0
"585","Schizachyrium scoparium",270,162.331778264111,27,6,6,1,1
"586","Agropyron repens",0,0,28,6,6,1,0
"587","Agrostis scabra",0,0,28,6,6,1,0
"588","Andropogon gerardi",0,0,28,6,6,1,0
"589","Poa pratensis",0,0,28,6,6,1,0
"590","Schizachyrium scoparium",132,159.312924342553,28,6,6,1,1
"591","Agropyron repens",0,0,37,6,6,1,0
"592","Agrostis scabra",0,0,37,6,6,1,0
"593","Andropogon gerardi",0,0,37,6,6,1,0
"594","Poa pratensis",180.3,121.313058988124,37,6,6,1,1
"595","Schizachyrium scoparium",0,0,37,6,6,1,0
"596","Agropyron repens",0,0,38,6,6,1,0
"597","Agrostis scabra",112.175,112.787499279513,38,6,6,1,1
"598","Andropogon gerardi",0,0,38,6,6,1,0
"599","Poa pratensis",0,0,38,6,6,1,0
"600","Schizachyrium scoparium",0,0,38,6,6,1,0
"601","Agropyron repens",203.52499,108.549989573414,41,6,6,1,1
"602","Agrostis scabra",0,0,41,6,6,1,0
"603","Andropogon gerardi",0,0,41,6,6,1,0
"604","Poa pratensis",0,0,41,6,6,1,0
"605","Schizachyrium scoparium",0,0,41,6,6,1,0
"606","Agropyron repens",0,0,46,6,6,1,0
"607","Agrostis scabra",143.5,112.014357224739,46,6,6,1,1
"608","Andropogon gerardi",0,0,46,6,6,1,0
"609","Poa pratensis",0,0,46,6,6,1,0
"610","Schizachyrium scoparium",0,0,46,6,6,1,0
"611","Agropyron repens",0,0,48,6,6,1,0
"612","Agrostis scabra",301.5,116.304439904499,48,6,6,1,1
"613","Andropogon gerardi",0,0,48,6,6,1,0
"614","Poa pratensis",0,0,48,6,6,1,0
"615","Schizachyrium scoparium",0,0,48,6,6,1,0
"616","Agropyron repens",113.9,109.397993336605,49,6,6,1,1
"617","Agrostis scabra",0,0,49,6,6,1,0
"618","Andropogon gerardi",0,0,49,6,6,1,0
"619","Poa pratensis",0,0,49,6,6,1,0
"620","Schizachyrium scoparium",0,0,49,6,6,1,0
"621","Agropyron repens",152.25,101.724924665328,55,6,6,1,1
"622","Agrostis scabra",0,0,55,6,6,1,0
"623","Andropogon gerardi",0,0,55,6,6,1,0
"624","Poa pratensis",0,0,55,6,6,1,0
"625","Schizachyrium scoparium",0,0,55,6,6,1,0
"626","Agropyron repens",0,0,58,6,6,1,0
"627","Agrostis scabra",0,0,58,6,6,1,0
"628","Andropogon gerardi",0,0,58,6,6,1,0
"629","Poa pratensis",209.925,123.399489739182,58,6,6,1,1
"630","Schizachyrium scoparium",0,0,58,6,6,1,0
"631","Agropyron repens",74.75,62.3963535731624,1,7,6,1,1
"632","Agrostis scabra",0,0,1,7,6,1,0
"633","Andropogon gerardi",0,0,1,7,6,1,0
"634","Poa pratensis",0,0,1,7,6,1,0
"635","Schizachyrium scoparium",0,0,1,7,6,1,0
"636","Agropyron repens",70.175,70.2962665278007,2,7,6,1,1
"637","Agrostis scabra",0,0,2,7,6,1,0
"638","Andropogon gerardi",0,0,2,7,6,1,0
"639","Poa pratensis",0,0,2,7,6,1,0
"640","Schizachyrium scoparium",0,0,2,7,6,1,0
"641","Agropyron repens",60.75,63.1015688422266,3,7,6,1,1
"642","Agrostis scabra",0,0,3,7,6,1,0
"643","Andropogon gerardi",0,0,3,7,6,1,0
"644","Poa pratensis",0,0,3,7,6,1,0
"645","Schizachyrium scoparium",0,0,3,7,6,1,0
"646","Agropyron repens",81.25,67.6826350056394,5,7,6,1,1
"647","Agrostis scabra",0,0,5,7,6,1,0
"648","Andropogon gerardi",0,0,5,7,6,1,0
"649","Poa pratensis",0,0,5,7,6,1,0
"650","Schizachyrium scoparium",0,0,5,7,6,1,0
"651","Agropyron repens",81.25,63.1209419331186,7,7,6,1,1
"652","Agrostis scabra",0,0,7,7,6,1,0
"653","Andropogon gerardi",0,0,7,7,6,1,0
"654","Poa pratensis",0,0,7,7,6,1,0
"655","Schizachyrium scoparium",0,0,7,7,6,1,0
"656","Agropyron repens",0,0,10,7,6,1,0
"657","Agrostis scabra",0,0,10,7,6,1,0
"658","Andropogon gerardi",0,0,10,7,6,1,0
"659","Poa pratensis",0,0,10,7,6,1,0
"660","Schizachyrium scoparium",173.25,95.1065257241749,10,7,6,1,1
"661","Agropyron repens",0,0,13,7,6,1,0
"662","Agrostis scabra",184.5,81.688997094779,13,7,6,1,1
"663","Andropogon gerardi",0,0,13,7,6,1,0
"664","Poa pratensis",0,0,13,7,6,1,0
"665","Schizachyrium scoparium",0,0,13,7,6,1,0
"666","Agropyron repens",0,0,14,7,6,1,0
"667","Agrostis scabra",189.5,70.2356463370763,14,7,6,1,1
"668","Andropogon gerardi",0,0,14,7,6,1,0
"669","Poa pratensis",0,0,14,7,6,1,0
"670","Schizachyrium scoparium",0,0,14,7,6,1,0
"671","Agropyron repens",0,0,15,7,6,1,0
"672","Agrostis scabra",58.65,74.322694298128,15,7,6,1,1
"673","Andropogon gerardi",0,0,15,7,6,1,0
"674","Poa pratensis",0,0,15,7,6,1,0
"675","Schizachyrium scoparium",0,0,15,7,6,1,0
"676","Agropyron repens",0,0,16,7,6,1,0
"677","Agrostis scabra",37.5,69.7547939466068,16,7,6,1,1
"678","Andropogon gerardi",0,0,16,7,6,1,0
"679","Poa pratensis",0,0,16,7,6,1,0
"680","Schizachyrium scoparium",0,0,16,7,6,1,0
"681","Agropyron repens",0,0,21,7,6,1,0
"682","Agrostis scabra",0,0,21,7,6,1,0
"683","Andropogon gerardi",0,0,21,7,6,1,0
"684","Poa pratensis",0,0,21,7,6,1,0
"685","Schizachyrium scoparium",38.75,81.2581537062533,21,7,6,1,1
"686","Agropyron repens",0,0,22,7,6,1,0
"687","Agrostis scabra",0,0,22,7,6,1,0
"688","Andropogon gerardi",69.25,85.419862447715,22,7,6,1,1
"689","Poa pratensis",0,0,22,7,6,1,0
"690","Schizachyrium scoparium",0,0,22,7,6,1,0
"691","Agropyron repens",0,0,23,7,6,1,0
"692","Agrostis scabra",0,0,23,7,6,1,0
"693","Andropogon gerardi",0,0,23,7,6,1,0
"694","Poa pratensis",0,0,23,7,6,1,0
"695","Schizachyrium scoparium",113.5,88.6426011425566,23,7,6,1,1
"696","Agropyron repens",0,0,24,7,6,1,0
"697","Agrostis scabra",0,0,24,7,6,1,0
"698","Andropogon gerardi",0,0,24,7,6,1,0
"699","Poa pratensis",84,70.5200753937754,24,7,6,1,1
"700","Schizachyrium scoparium",0,0,24,7,6,1,0
"701","Agropyron repens",74.5,57.3483284095345,27,7,6,1,1
"702","Agrostis scabra",0,0,27,7,6,1,0
"703","Andropogon gerardi",0,0,27,7,6,1,0
"704","Poa pratensis",0,0,27,7,6,1,0
"705","Schizachyrium scoparium",0,0,27,7,6,1,0
"706","Agropyron repens",51.5,66.9508619682181,28,7,6,1,1
"707","Agrostis scabra",0,0,28,7,6,1,0
"708","Andropogon gerardi",0,0,28,7,6,1,0
"709","Poa pratensis",0,0,28,7,6,1,0
"710","Schizachyrium scoparium",0,0,28,7,6,1,0
"711","Agropyron repens",0,0,38,7,6,1,0
"712","Agrostis scabra",0,0,38,7,6,1,0
"713","Andropogon gerardi",118,93.0742723901474,38,7,6,1,1
"714","Poa pratensis",0,0,38,7,6,1,0
"715","Schizachyrium scoparium",0,0,38,7,6,1,0
"716","Agropyron repens",0,0,42,7,6,1,0
"717","Agrostis scabra",0,0,42,7,6,1,0
"718","Andropogon gerardi",0,0,42,7,6,1,0
"719","Poa pratensis",77.75,66.3830674136077,42,7,6,1,1
"720","Schizachyrium scoparium",0,0,42,7,6,1,0
"721","Agropyron repens",0,0,45,7,6,1,0
"722","Agrostis scabra",0,0,45,7,6,1,0
"723","Andropogon gerardi",0,0,45,7,6,1,0
"724","Poa pratensis",55.35,63.4053345673018,45,7,6,1,1
"725","Schizachyrium scoparium",0,0,45,7,6,1,0
"726","Agropyron repens",0,0,48,7,6,1,0
"727","Agrostis scabra",144.675,70.0715113459501,48,7,6,1,1
"728","Andropogon gerardi",0,0,48,7,6,1,0
"729","Poa pratensis",0,0,48,7,6,1,0
"730","Schizachyrium scoparium",0,0,48,7,6,1,0
"731","Agropyron repens",0,0,63,7,6,1,0
"732","Agrostis scabra",174.25,67.9828590771148,63,7,6,1,1
"733","Andropogon gerardi",0,0,63,7,6,1,0
"734","Poa pratensis",0,0,63,7,6,1,0
"735","Schizachyrium scoparium",0,0,63,7,6,1,0
"736","Agropyron repens",58.25,53.8142830125967,2,8,6,1,1
"737","Agrostis scabra",0,0,2,8,6,1,0
"738","Andropogon gerardi",0,0,2,8,6,1,0
"739","Poa pratensis",0,0,2,8,6,1,0
"740","Schizachyrium scoparium",0,0,2,8,6,1,0
"741","Agropyron repens",73.5,47.0155079982388,3,8,6,1,1
"742","Agrostis scabra",0,0,3,8,6,1,0
"743","Andropogon gerardi",0,0,3,8,6,1,0
"744","Poa pratensis",0,0,3,8,6,1,0
"745","Schizachyrium scoparium",0,0,3,8,6,1,0
"746","Agropyron repens",0,0,9,8,6,1,0
"747","Agrostis scabra",0,0,9,8,6,1,0
"748","Andropogon gerardi",0,0,9,8,6,1,0
"749","Poa pratensis",0,0,9,8,6,1,0
"750","Schizachyrium scoparium",89.5,80.4258350402794,9,8,6,1,1
"751","Agropyron repens",0,0,10,8,6,1,0
"752","Agrostis scabra",0,0,10,8,6,1,0
"753","Andropogon gerardi",0,0,10,8,6,1,0
"754","Poa pratensis",52.25,60.3402788792923,10,8,6,1,1
"755","Schizachyrium scoparium",0,0,10,8,6,1,0
"756","Agropyron repens",0,0,11,8,6,1,0
"757","Agrostis scabra",0,0,11,8,6,1,0
"758","Andropogon gerardi",80.5,76.156039124654,11,8,6,1,1
"759","Poa pratensis",0,0,11,8,6,1,0
"760","Schizachyrium scoparium",0,0,11,8,6,1,0
"761","Agropyron repens",0,0,12,8,6,1,0
"762","Agrostis scabra",0,0,12,8,6,1,0
"763","Andropogon gerardi",0,0,12,8,6,1,0
"764","Poa pratensis",67.25,55.5914745821535,12,8,6,1,1
"765","Schizachyrium scoparium",0,0,12,8,6,1,0
"766","Agropyron repens",0,0,17,8,6,1,0
"767","Agrostis scabra",30.5,57.4027221974162,17,8,6,1,1
"768","Andropogon gerardi",0,0,17,8,6,1,0
"769","Poa pratensis",0,0,17,8,6,1,0
"770","Schizachyrium scoparium",0,0,17,8,6,1,0
"771","Agropyron repens",0,0,18,8,6,1,0
"772","Agrostis scabra",78,60.9615262464382,18,8,6,1,1
"773","Andropogon gerardi",0,0,18,8,6,1,0
"774","Poa pratensis",0,0,18,8,6,1,0
"775","Schizachyrium scoparium",0,0,18,8,6,1,0
"776","Agropyron repens",0,0,20,8,6,1,0
"777","Agrostis scabra",166,58.5611490750627,20,8,6,1,1
"778","Andropogon gerardi",0,0,20,8,6,1,0
"779","Poa pratensis",0,0,20,8,6,1,0
"780","Schizachyrium scoparium",0,0,20,8,6,1,0
"781","Agropyron repens",0,0,27,8,6,1,0
"782","Agrostis scabra",68,59.4029196672939,27,8,6,1,1
"783","Andropogon gerardi",0,0,27,8,6,1,0
"784","Poa pratensis",0,0,27,8,6,1,0
"785","Schizachyrium scoparium",0,0,27,8,6,1,0
"786","Agropyron repens",0,0,28,8,6,1,0
"787","Agrostis scabra",125.75,56.9774959961677,28,8,6,1,1
"788","Andropogon gerardi",0,0,28,8,6,1,0
"789","Poa pratensis",0,0,28,8,6,1,0
"790","Schizachyrium scoparium",0,0,28,8,6,1,0
"791","Agropyron repens",52,52.0795378559519,36,8,6,1,1
"792","Agrostis scabra",0,0,36,8,6,1,0
"793","Andropogon gerardi",0,0,36,8,6,1,0
"794","Poa pratensis",0,0,36,8,6,1,0
"795","Schizachyrium scoparium",0,0,36,8,6,1,0
"796","Agropyron repens",0,0,38,8,6,1,0
"797","Agrostis scabra",0,0,38,8,6,1,0
"798","Andropogon gerardi",0,0,38,8,6,1,0
"799","Poa pratensis",0,0,38,8,6,1,0
"800","Schizachyrium scoparium",82.25,81.1962908979533,38,8,6,1,1
"801","Agropyron repens",0,0,39,8,6,1,0
"802","Agrostis scabra",0,0,39,8,6,1,0
"803","Andropogon gerardi",0,0,39,8,6,1,0
"804","Poa pratensis",0,0,39,8,6,1,0
"805","Schizachyrium scoparium",97,78.243530536384,39,8,6,1,1
"806","Agropyron repens",0,0,40,8,6,1,0
"807","Agrostis scabra",0,0,40,8,6,1,0
"808","Andropogon gerardi",0,0,40,8,6,1,0
"809","Poa pratensis",40.25,62.3645244227341,40,8,6,1,1
"810","Schizachyrium scoparium",0,0,40,8,6,1,0
"811","Agropyron repens",56.75,51.5553078295904,52,8,6,1,1
"812","Agrostis scabra",0,0,52,8,6,1,0
"813","Andropogon gerardi",0,0,52,8,6,1,0
"814","Poa pratensis",0,0,52,8,6,1,0
"815","Schizachyrium scoparium",0,0,52,8,6,1,0
"816","Agropyron repens",0,0,53,8,6,1,0
"817","Agrostis scabra",160.5,60.9700122222708,53,8,6,1,1
"818","Andropogon gerardi",0,0,53,8,6,1,0
"819","Poa pratensis",0,0,53,8,6,1,0
"820","Schizachyrium scoparium",0,0,53,8,6,1,0
"821","Agropyron repens",0,0,56,8,6,1,0
"822","Agrostis scabra",0,0,56,8,6,1,0
"823","Andropogon gerardi",97.75,76.9208423933776,56,8,6,1,1
"824","Poa pratensis",0,0,56,8,6,1,0
"825","Schizachyrium scoparium",0,0,56,8,6,1,0
"826","Agropyron repens",49.75,46.4962804505157,59,8,6,1,1
"827","Agrostis scabra",0,0,59,8,6,1,0
"828","Andropogon gerardi",0,0,59,8,6,1,0
"829","Poa pratensis",0,0,59,8,6,1,0
"830","Schizachyrium scoparium",0,0,59,8,6,1,0
"831","Agropyron repens",21,39.2801699816551,62,8,6,1,1
"832","Agrostis scabra",0,0,62,8,6,1,0
"833","Andropogon gerardi",0,0,62,8,6,1,0
"834","Poa pratensis",0,0,62,8,6,1,0
"835","Schizachyrium scoparium",0,0,62,8,6,1,0
"836","Agropyron repens",42.5,47.3335874025131,64,8,6,1,1
"837","Agrostis scabra",0,0,64,8,6,1,0
"838","Andropogon gerardi",0,0,64,8,6,1,0
"839","Poa pratensis",0,0,64,8,6,1,0
"840","Schizachyrium scoparium",0,0,64,8,6,1,0
"841","Agropyron repens",0,0,1,9,6,1,0
"842","Agrostis scabra",175.25,62.2147037957556,1,9,6,1,1
"843","Andropogon gerardi",0,0,1,9,6,1,0
"844","Poa pratensis",0,0,1,9,6,1,0
"845","Schizachyrium scoparium",0,0,1,9,6,1,0
"846","Agropyron repens",0,0,3,9,6,1,0
"847","Agrostis scabra",57.25,64.4571390220366,3,9,6,1,1
"848","Andropogon gerardi",0,0,3,9,6,1,0
"849","Poa pratensis",0,0,3,9,6,1,0
"850","Schizachyrium scoparium",0,0,3,9,6,1,0
"851","Agropyron repens",0,0,9,9,6,1,0
"852","Agrostis scabra",31.75,73.3400484569189,9,9,6,1,1
"853","Andropogon gerardi",0,0,9,9,6,1,0
"854","Poa pratensis",0,0,9,9,6,1,0
"855","Schizachyrium scoparium",0,0,9,9,6,1,0
"856","Agropyron repens",0,0,10,9,6,1,0
"857","Agrostis scabra",112.5,65.6695970145269,10,9,6,1,1
"858","Andropogon gerardi",0,0,10,9,6,1,0
"859","Poa pratensis",0,0,10,9,6,1,0
"860","Schizachyrium scoparium",0,0,10,9,6,1,0
"861","Agropyron repens",0,0,12,9,6,1,0
"862","Agrostis scabra",0,0,12,9,6,1,0
"863","Andropogon gerardi",0,0,12,9,6,1,0
"864","Poa pratensis",47.5,61.9103654689701,12,9,6,1,1
"865","Schizachyrium scoparium",0,0,12,9,6,1,0
"866","Agropyron repens",0,0,15,9,6,1,0
"867","Agrostis scabra",0,0,15,9,6,1,0
"868","Andropogon gerardi",0,0,15,9,6,1,0
"869","Poa pratensis",0,0,15,9,6,1,0
"870","Schizachyrium scoparium",88.5,75.2938246884081,15,9,6,1,1
"871","Agropyron repens",0,0,16,9,6,1,0
"872","Agrostis scabra",0,0,16,9,6,1,0
"873","Andropogon gerardi",0,0,16,9,6,1,0
"874","Poa pratensis",45,59.862189033621,16,9,6,1,1
"875","Schizachyrium scoparium",0,0,16,9,6,1,0
"876","Agropyron repens",48.525,57.9749021256289,23,9,6,1,1
"877","Agrostis scabra",0,0,23,9,6,1,0
"878","Andropogon gerardi",0,0,23,9,6,1,0
"879","Poa pratensis",0,0,23,9,6,1,0
"880","Schizachyrium scoparium",0,0,23,9,6,1,0
"881","Agropyron repens",55.25,59.0496074358794,27,9,6,1,1
"882","Agrostis scabra",0,0,27,9,6,1,0
"883","Andropogon gerardi",0,0,27,9,6,1,0
"884","Poa pratensis",0,0,27,9,6,1,0
"885","Schizachyrium scoparium",0,0,27,9,6,1,0
"886","Agropyron repens",48.75,58.2090782089182,34,9,6,1,1
"887","Agrostis scabra",0,0,34,9,6,1,0
"888","Andropogon gerardi",0,0,34,9,6,1,0
"889","Poa pratensis",0,0,34,9,6,1,0
"890","Schizachyrium scoparium",0,0,34,9,6,1,0
"891","Agropyron repens",68.5,63.0163606340264,35,9,6,1,1
"892","Agrostis scabra",0,0,35,9,6,1,0
"893","Andropogon gerardi",0,0,35,9,6,1,0
"894","Poa pratensis",0,0,35,9,6,1,0
"895","Schizachyrium scoparium",0,0,35,9,6,1,0
"896","Agropyron repens",0,0,38,9,6,1,0
"897","Agrostis scabra",0,0,38,9,6,1,0
"898","Andropogon gerardi",107.25,96.1884458456882,38,9,6,1,1
"899","Poa pratensis",0,0,38,9,6,1,0
"900","Schizachyrium scoparium",0,0,38,9,6,1,0
"901","Agropyron repens",0,0,39,9,6,1,0
"902","Agrostis scabra",0,0,39,9,6,1,0
"903","Andropogon gerardi",0,0,39,9,6,1,0
"904","Poa pratensis",0,0,39,9,6,1,0
"905","Schizachyrium scoparium",77,96.0955779280866,39,9,6,1,1
"906","Agropyron repens",0,0,42,9,6,1,0
"907","Agrostis scabra",0,0,42,9,6,1,0
"908","Andropogon gerardi",0,0,42,9,6,1,0
"909","Poa pratensis",0,0,42,9,6,1,0
"910","Schizachyrium scoparium",120.5,98.6586414486782,42,9,6,1,1
"911","Agropyron repens",0,0,43,9,6,1,0
"912","Agrostis scabra",0,0,43,9,6,1,0
"913","Andropogon gerardi",0,0,43,9,6,1,0
"914","Poa pratensis",80.5,63.4236382175479,43,9,6,1,1
"915","Schizachyrium scoparium",0,0,43,9,6,1,0
"916","Agropyron repens",0,0,44,9,6,1,0
"917","Agrostis scabra",0,0,44,9,6,1,0
"918","Andropogon gerardi",138.25,87.8320614469186,44,9,6,1,1
"919","Poa pratensis",0,0,44,9,6,1,0
"920","Schizachyrium scoparium",0,0,44,9,6,1,0
"921","Agropyron repens",0,0,45,9,6,1,0
"922","Agrostis scabra",142.75,72.2566211686208,45,9,6,1,1
"923","Andropogon gerardi",0,0,45,9,6,1,0
"924","Poa pratensis",0,0,45,9,6,1,0
"925","Schizachyrium scoparium",0,0,45,9,6,1,0
"926","Agropyron repens",0,0,48,9,6,1,0
"927","Agrostis scabra",148,69.563903676935,48,9,6,1,1
"928","Andropogon gerardi",0,0,48,9,6,1,0
"929","Poa pratensis",0,0,48,9,6,1,0
"930","Schizachyrium scoparium",0,0,48,9,6,1,0
"931","Agropyron repens",59.25,61.0974415702282,57,9,6,1,1
"932","Agrostis scabra",0,0,57,9,6,1,0
"933","Andropogon gerardi",0,0,57,9,6,1,0
"934","Poa pratensis",0,0,57,9,6,1,0
"935","Schizachyrium scoparium",0,0,57,9,6,1,0
"936","Agropyron repens",40.5,43.863438391147,60,9,6,1,1
"937","Agrostis scabra",0,0,60,9,6,1,0
"938","Andropogon gerardi",0,0,60,9,6,1,0
"939","Poa pratensis",0,0,60,9,6,1,0
"940","Schizachyrium scoparium",0,0,60,9,6,1,0
"941","Agropyron repens",43.4,47.1857894498223,61,9,6,1,1
"942","Agrostis scabra",0,0,61,9,6,1,0
"943","Andropogon gerardi",0,0,61,9,6,1,0
"944","Poa pratensis",0,0,61,9,6,1,0
"945","Schizachyrium scoparium",0,0,61,9,6,1,0
"946","Agropyron repens",0,0,1,1,6,2,0
"947","Agrostis scabra",0,0,1,1,6,2,0
"948","Andropogon gerardi",0,0,1,1,6,2,0
"949","Poa pratensis",11.33636,40.353421980131,1,1,6,2,1
"950","Schizachyrium scoparium",144.40909,106.207513642105,1,1,6,2,1
"951","Agropyron repens",0,0,2,1,6,2,0
"952","Agrostis scabra",0,0,2,1,6,2,0
"953","Andropogon gerardi",0,0,2,1,6,2,0
"954","Poa pratensis",3.25,46.5446261954149,2,1,6,2,1
"955","Schizachyrium scoparium",243,124.202201433624,2,1,6,2,1
"956","Agropyron repens",74.75,54.2036834766165,3,1,6,2,1
"957","Agrostis scabra",0,0,3,1,6,2,0
"958","Andropogon gerardi",0,0,3,1,6,2,0
"959","Poa pratensis",24.75,100.853554455031,3,1,6,2,1
"960","Schizachyrium scoparium",0,0,3,1,6,2,0
"961","Agropyron repens",0,0,5,1,6,2,0
"962","Agrostis scabra",0,0,5,1,6,2,0
"963","Andropogon gerardi",0,0,5,1,6,2,0
"964","Poa pratensis",3.925,43.4816605998913,5,1,6,2,1
"965","Schizachyrium scoparium",209.5,115.431544024766,5,1,6,2,1
"966","Agropyron repens",0,0,6,1,6,2,0
"967","Agrostis scabra",0,0,6,1,6,2,0
"968","Andropogon gerardi",0,0,6,1,6,2,0
"969","Poa pratensis",13.88889,53.7988010162565,6,1,6,2,1
"970","Schizachyrium scoparium",134.55556,144.865244929547,6,1,6,2,1
"971","Agropyron repens",0,0,7,1,6,2,0
"972","Agrostis scabra",0,24.9522061815718,7,1,6,2,1
"973","Andropogon gerardi",0,0,7,1,6,2,0
"974","Poa pratensis",0,0,7,1,6,2,0
"975","Schizachyrium scoparium",19.4,143.710705892643,7,1,6,2,1
"976","Agropyron repens",0,0,11,1,6,2,0
"977","Agrostis scabra",0,25.0609137074974,11,1,6,2,1
"978","Andropogon gerardi",0,0,11,1,6,2,0
"979","Poa pratensis",0,0,11,1,6,2,0
"980","Schizachyrium scoparium",239.5,139.539196759303,11,1,6,2,1
"981","Agropyron repens",0,0,12,1,6,2,0
"982","Agrostis scabra",0,39.1070939239117,12,1,6,2,1
"983","Andropogon gerardi",353.72501,117.232688676994,12,1,6,2,1
"984","Poa pratensis",0,0,12,1,6,2,0
"985","Schizachyrium scoparium",0,0,12,1,6,2,0
"986","Agropyron repens",0,0,13,1,6,2,0
"987","Agrostis scabra",0,0,13,1,6,2,0
"988","Andropogon gerardi",0,0,13,1,6,2,0
"989","Poa pratensis",1.85455,55.0798590394858,13,1,6,2,1
"990","Schizachyrium scoparium",177.68182,148.637981667336,13,1,6,2,1
"991","Agropyron repens",0,0,14,1,6,2,0
"992","Agrostis scabra",0,0,14,1,6,2,0
"993","Andropogon gerardi",0,0,14,1,6,2,0
"994","Poa pratensis",18,61.9181503377263,14,1,6,2,1
